idVisit,serverTime,timeSpent,actionCategory,actionName,userName,department,team,title,organization,name,country
202368,2016-12-19 18:46:32,,Webnei downloaded,IoT - Internet of Things - Introduction,"Age of Sail II: Privateer's Bounty  ",AA Applications &amp; Analytics,AA NM SON Architecture1,Principal Systems Engineer,AA Network Mgmt &amp; Self Org,"Age of Sail II: Privateer's Bounty  ",USA
202376,2016-12-19 18:59:06,,WebNei clicked,Step towards Next Gen Telco: 5G introduction,Age of Wonders: Antologia  ,MN Mobile Networks,MN RN CRD Network Perform122,INGENIEUR PERFORMANCE RESEAUX,MN Radio Networks,Age of Wonders: Antologia  ,France
202377,2016-12-19 19:01:42,,WebNei clicked,LTE430,"Age of Wonders II: The Wizard's Throne  ",MN Mobile Networks,MN GS LAT RSO53 B,RF Performance Expert,MN Global Services,"Age of Wonders II: The Wizard's Throne  ",Mexico
202384,2016-12-19 19:35:15,866,WebNei clicked,LTE2621,Age of Wonders: Masters Collection  ,MN Mobile Networks,MN GS EUR RSO58,Technical Consultant,MN Global Services,Age of Wonders: Masters Collection  ,United Kingdom
202386,2016-12-19 19:40:31,429,WebNei clicked,LTE739,Age of Wonders: Shadow Magic  ,MN Mobile Networks,MN AMS SC&amp;WiFi Test&amp;Transf5,Trial and Pilot Engineer,MN Advanced MN Solutions,Age of Wonders: Shadow Magic  ,Poland
202386,2016-12-19 19:48:04,12,WebNei clicked,Step towards Next Gen Telco: 5G introduction,Age of Wonders: Shadow Magic  ,MN Mobile Networks,MN AMS SC&amp;WiFi Test&amp;Transf5,Trial and Pilot Engineer,MN Advanced MN Solutions,Age of Wonders: Shadow Magic  ,Poland
202386,2016-12-19 19:48:16,123,Webnei downloaded,Step towards Next Gen Telco: 5G introduction,Age of Wonders: Shadow Magic  ,MN Mobile Networks,MN AMS SC&amp;WiFi Test&amp;Transf5,Trial and Pilot Engineer,MN Advanced MN Solutions,Age of Wonders: Shadow Magic  ,Poland
202386,2016-12-19 19:50:19,,Webnei downloaded,LTE739 IPsec for BTS (Rel. 13) LTE739,Age of Wonders: Shadow Magic  ,MN Mobile Networks,MN AMS SC&amp;WiFi Test&amp;Transf5,Trial and Pilot Engineer,MN Advanced MN Solutions,Age of Wonders: Shadow Magic  ,Poland
202394,2016-12-19 20:04:53,77,WebNei clicked,LTE1857,Age of Wulin  ,MN Mobile Networks,MN GS LAT RSO541 A,Wls Professional Service SME,MN Global Services,Age of Wulin  ,Argentina
202394,2016-12-19 20:06:10,7,Release technology,LTE,Age of Wulin  ,MN Mobile Networks,MN GS LAT RSO541 A,Wls Professional Service SME,MN Global Services,Age of Wulin  ,Argentina
202394,2016-12-19 20:06:17,,Release type,LTE FDD,Age of Wulin  ,MN Mobile Networks,MN GS LAT RSO541 A,Wls Professional Service SME,MN Global Services,Age of Wulin  ,Argentina
202394,2016-12-19 20:06:17,10,Release type,LTE FDD,Age of Wulin  ,MN Mobile Networks,MN GS LAT RSO541 A,Wls Professional Service SME,MN Global Services,Age of Wulin  ,Argentina
202394,2016-12-19 20:06:27,1,Release type,LTE FDD,Age of Wulin  ,MN Mobile Networks,MN GS LAT RSO541 A,Wls Professional Service SME,MN Global Services,Age of Wulin  ,Argentina
202394,2016-12-19 20:06:28,,Release type,LTE FDD,Age of Wulin  ,MN Mobile Networks,MN GS LAT RSO541 A,Wls Professional Service SME,MN Global Services,Age of Wulin  ,Argentina
202394,2016-12-19 20:06:28,,Release type,LTE FDD,Age of Wulin  ,MN Mobile Networks,MN GS LAT RSO541 A,Wls Professional Service SME,MN Global Services,Age of Wulin  ,Argentina
202394,2016-12-19 20:06:28,1,Release type,LTE FDD,Age of Wulin  ,MN Mobile Networks,MN GS LAT RSO541 A,Wls Professional Service SME,MN Global Services,Age of Wulin  ,Argentina
202394,2016-12-19 20:06:29,1,Release type,LTE FDD,Age of Wulin  ,MN Mobile Networks,MN GS LAT RSO541 A,Wls Professional Service SME,MN Global Services,Age of Wulin  ,Argentina
202394,2016-12-19 20:06:30,6,Release type,LTE FDD,Age of Wulin  ,MN Mobile Networks,MN GS LAT RSO541 A,Wls Professional Service SME,MN Global Services,Age of Wulin  ,Argentina
